epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9708,3.20741,4.07583,3.92902,0.65115,0.1,0.03528,0.00763,2.30931,4.33983,3.82406,0,0,0
2,36.8714,3.38103,4.02658,4.34503,0.69865,0.09865,0.0519,0.01105,2.30199,4.34105,3.7927,9.802e-06,9.802e-06,9.802e-06
3,55.4271,3.1146,4.08215,3.5293,0.69689,0.09689,0.05216,0.01104,2.28428,4.33222,3.75382,1.9208e-05,1.9208e-05,1.9208e-05
4,77.8167,3.47742,3.92709,4.32682,0.89712,0.09712,0.05246,0.0111,2.25619,4.30804,3.7037,2.8218e-05,2.8218e-05,2.8218e-05
5,100.247,3.96523,4.17488,4.09782,0.89431,0.1,0.05359,0.01177,2.19342,4.27915,3.64377,3.6832e-05,3.6832e-05,3.6832e-05
6,122.42,3.75219,4.09738,4.16983,0.88986,0.1,0.05637,0.0131,2.1269,4.24092,3.57397,4.505e-05,4.505e-05,4.505e-05
7,144.552,3.25972,4.11521,4.1087,0.89059,0.1,0.10982,0.02474,2.04862,4.1885,3.50875,5.2872e-05,5.2872e-05,5.2872e-05
8,166.934,3.40689,3.88376,3.89008,0.94202,0.1,0.11061,0.02544,1.98475,4.12996,3.46664,6.0298e-05,6.0298e-05,6.0298e-05
9,189.728,3.61223,3.87406,4.25082,0.97007,0.1,0.11626,0.02858,1.92846,4.07315,3.44211,6.7328e-05,6.7328e-05,6.7328e-05
10,213.175,3.31192,3.88366,3.97853,0.7773,0.1,0.11989,0.02965,1.87124,4.00993,3.41879,7.3962e-05,7.3962e-05,7.3962e-05
11,236.372,3.32536,4.04911,4.09097,0.77632,0.1,0.12729,0.03303,1.82854,3.94511,3.41263,8.02e-05,8.02e-05,8.02e-05
12,258.279,2.83477,3.81422,3.89783,0.77042,0.1,0.13628,0.027,1.79956,3.87179,3.42638,8.6042e-05,8.6042e-05,8.6042e-05
13,279.981,3.00473,3.7372,3.89349,0.76153,0.1,0.14253,0.02936,1.76621,3.7946,3.43961,9.1488e-05,9.1488e-05,9.1488e-05
14,301.823,2.8705,3.80082,3.59495,0.71915,0.1,0.15111,0.03243,1.7525,3.71458,3.46901,9.6538e-05,9.6538e-05,9.6538e-05
15,323.547,2.75739,3.61451,3.55193,0.68845,0.1,0.10771,0.03004,1.74276,3.63008,3.50582,0.000101192,0.000101192,0.000101192
16,345.696,2.35468,3.44061,3.27382,0.68914,0.1,0.11323,0.03244,1.75467,3.54756,3.53602,0.00010545,0.00010545,0.00010545
17,368.106,2.42373,3.45529,3.67502,0.69827,0.1,0.11883,0.03506,1.76921,3.46912,3.57095,0.000109312,0.000109312,0.000109312
18,390.112,2.74599,3.37537,4.03355,0.69827,0.1,0.11883,0.03506,1.76921,3.46912,3.57095,0.000112778,0.000112778,0.000112778
19,412.476,3.00432,3.49344,3.56872,0.06913,0.3057,0.07341,0.03184,1.79708,3.37633,3.60932,0.000115848,0.000115848,0.000115848
20,434.872,2.43803,3.33795,3.12961,0.06913,0.3057,0.07341,0.03184,1.79708,3.37633,3.60932,0.000118522,0.000118522,0.000118522
21,457.466,2.1514,3.25592,3.02653,0.06183,0.31869,0.07713,0.03283,1.83078,3.26193,3.6723,0.0001208,0.0001208,0.0001208
22,479.457,2.28042,3.27949,3.37172,0.06183,0.31869,0.07713,0.03283,1.83078,3.26193,3.6723,0.000122682,0.000122682,0.000122682
23,501.726,2.73314,3.21868,3.83554,0.05763,0.32743,0.07971,0.034,1.85363,3.15992,3.71342,0.000124168,0.000124168,0.000124168
24,523.831,2.2215,3.1416,3.15551,0.05763,0.32743,0.07971,0.034,1.85363,3.15992,3.71342,0.000125258,0.000125258,0.000125258
25,546.507,2.77362,3.10077,3.54813,0.05963,0.32973,0.08273,0.03532,1.87525,3.06251,3.77742,0.000125952,0.000125952,0.000125952
26,569.414,2.52014,3.15538,3.28668,0.05963,0.32973,0.08273,0.03532,1.87525,3.06251,3.77742,0.00012625,0.00012625,0.00012625
27,591.438,2.39693,3.10143,3.4746,0.09486,0.19175,0.08521,0.0366,1.8926,2.97825,3.82412,0.000126152,0.000126152,0.000126152
28,614.558,2.34893,3.14256,3.15423,0.09486,0.19175,0.08521,0.0366,1.8926,2.97825,3.82412,0.000125658,0.000125658,0.000125658
29,638.003,2.65217,3.24461,3.63055,0.09974,0.08726,0.08665,0.03748,1.91072,2.89438,3.88792,0.000124768,0.000124768,0.000124768
30,661.174,2.49695,2.86728,3.49385,0.09974,0.08726,0.08665,0.03748,1.91072,2.89438,3.88792,0.000123482,0.000123482,0.000123482
31,685.923,2.52663,2.93995,3.57953,0.30051,0.09369,0.08903,0.03837,1.92448,2.81728,3.94061,0.0001218,0.0001218,0.0001218
32,709.745,2.4747,3.15085,2.93558,0.30051,0.09369,0.08903,0.03837,1.92448,2.81728,3.94061,0.000119722,0.000119722,0.000119722
33,733.215,2.54733,2.769,3.38212,0.501,0.096,0.09145,0.03974,1.93592,2.7473,3.9892,0.000117248,0.000117248,0.000117248
34,756.86,2.43091,3.13052,2.95024,0.501,0.096,0.09145,0.03974,1.93592,2.7473,3.9892,0.000114378,0.000114378,0.000114378
35,780.23,2.43503,2.67195,3.79642,0.50499,0.09628,0.094,0.04106,1.94554,2.68839,3.99059,0.000111112,0.000111112,0.000111112
36,803.671,1.82919,2.90064,2.6752,0.50499,0.09628,0.094,0.04106,1.94554,2.68839,3.99059,0.00010745,0.00010745,0.00010745
37,827.13,2.38508,2.88707,3.44866,0.50564,0.09674,0.09491,0.04206,1.96169,2.65269,3.99647,0.000103392,0.000103392,0.000103392
38,850.498,2.20433,2.60398,3.43138,0.50564,0.09674,0.09491,0.04206,1.96169,2.65269,3.99647,9.8938e-05,9.8938e-05,9.8938e-05
39,874.957,2.00841,2.69594,2.92128,0.50675,0.09684,0.09624,0.0427,1.96618,2.61991,3.99992,9.4088e-05,9.4088e-05,9.4088e-05
40,899.531,1.89564,2.67547,3.31511,0.50675,0.09684,0.09624,0.0427,1.96618,2.61991,3.99992,8.8842e-05,8.8842e-05,8.8842e-05
41,924.319,2.04851,2.51527,3.15739,0.50612,0.09818,0.09746,0.04377,1.96159,2.57836,4.00505,8.32e-05,8.32e-05,8.32e-05
42,947.996,2.06662,2.3581,3.40394,0.50612,0.09818,0.09746,0.04377,1.96159,2.57836,4.00505,7.7162e-05,7.7162e-05,7.7162e-05
43,972.063,1.98071,2.38515,2.97867,0.50622,0.10085,0.09917,0.04462,1.96008,2.54274,3.99147,7.0728e-05,7.0728e-05,7.0728e-05
44,996.559,2.12845,2.3962,3.07816,0.50622,0.10085,0.09917,0.04462,1.96008,2.54274,3.99147,6.3898e-05,6.3898e-05,6.3898e-05
45,1023.03,1.83639,2.14339,3.72934,0.50819,0.10024,0.10003,0.04537,1.96261,2.5135,3.96666,5.6672e-05,5.6672e-05,5.6672e-05
46,1047.66,1.99589,2.32469,2.79636,0.50819,0.10024,0.10003,0.04537,1.96261,2.5135,3.96666,4.905e-05,4.905e-05,4.905e-05
47,1072.1,1.95493,2.45448,2.97604,0.50933,0.10109,0.10163,0.04615,1.95908,2.49,3.92416,4.1032e-05,4.1032e-05,4.1032e-05
48,1096.53,2.08399,2.35341,3.17943,0.50933,0.10109,0.10163,0.04615,1.95908,2.49,3.92416,3.2618e-05,3.2618e-05,3.2618e-05
49,1118.55,1.97028,2.4338,2.88958,0.50681,0.10291,0.10241,0.0467,1.95094,2.46465,3.90734,2.3808e-05,2.3808e-05,2.3808e-05
50,1142.68,2.04793,2.19028,3.40054,0.50681,0.10291,0.10241,0.0467,1.95094,2.46465,3.90734,1.4602e-05,1.4602e-05,1.4602e-05
